,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
MUS,0,0,0,0,2,0,0,3,4,0,0,12,5,0,0,7,2,0,1,3,2,0,0,2,1,0,0,2,9,2,2,1,2,0,9,5,4,29,4,6,0,0,0,4,4,0,3,4,0,1,3,6,15,0,0,4,1,2,3,7,1,9,3,7,6,1,0,32,0,0,0,46,1,6,0,0,1,0,0,4,1,0,0,1,1,0,4,0,5,2,29,2,5,0,2,3,22,3,3,13,2,6,1,1,0,0,10,4,1,2,0,1,0,0,3,0,1,1,3,0,6,0,2,7,1,6,0,1,0,1,2,1,3,4,0,0,0,0,7,6,0,1,16,0,0,11,9,3,10,12,6,3,4,3,0,0,5,0,13,2,2,3,5,9,2,25,2,4,4,0,0,1,1,1,0,0,5,0,0,3,1,2,10,0,0,7,0,0,0,0,25,0,0,0,1,2,4,15,0,6,6,8,1,4,29,2,0,0,0,4,0,6,0,0,0,1,38,1,0
MWI,0,1,3,0,0,0,0,1,1,0,0,41,3,0,1,22,5,0,18,14,0,1,0,0,0,1,0,0,22,2,0,0,12,0,45,50,3,27,7,14,6,2,0,5,0,0,1,1,0,0,0,2,41,0,0,18,0,4,0,4,0,12,2,22,25,0,0,28,0,1,4,327,0,31,0,2,10,0,1,0,0,0,0,0,0,0,0,5,0,7,42,13,7,2,1,3,22,1,3,15,1,65,1,1,0,1,10,2,2,3,4,1,0,0,4,4,0,2,0,0,4,0,0,1,0,8,0,0,8,0,0,0,2,14,1,0,0,0,2,7,0,5,31,0,0,48,26,9,4,0,11,0,7,3,0,1,3,1,4,0,1,5,1,5,8,5,2,12,9,0,0,0,1,0,0,0,5,0,1,0,0,1,23,4,0,0,0,0,1,1,20,0,0,0,0,0,1,2,0,3,61,50,0,3,435,0,0,0,0,0,0,13,0,0,0,0,123,34,54
MYS,0,11,0,8,8,0,0,139,128,215,0,1165,290,92,5,252,14,0,1,340,231,31,0,4,215,0,0,5,338,4,52,10,5,0,398,333,137,1019,4,27,8,2,0,262,0,0,19,27,0,0,128,309,553,0,1,235,5,65,137,297,5,418,143,34,204,14,0,542,0,8,1,1749,219,36,0,1,3,0,0,304,2,1,1,2,1,0,136,0,252,621,976,207,780,478,17,142,497,9,104,979,25,38,15,25,0,0,448,59,11,30,1,59,0,0,187,1,136,17,128,0,120,2,5,5,0,199,0,4,2,3,30,1,6,11,0,0,7,2,0,3,9,4,386,0,0,320,200,26,300,79,822,23,29,194,0,9,356,0,297,5,127,186,214,294,11,805,44,4,416,0,0,9,3,3,0,1,246,0,1,3,120,108,258,0,0,3,9,0,0,0,463,3,0,1,1,5,31,353,0,541,19,26,157,9,1231,13,0,0,0,9,0,154,2,1,0,93,255,15,10
NAM,0,0,1,1,1,0,0,3,5,7,0,30,19,0,0,13,5,0,0,1,5,1,0,0,3,0,0,3,13,0,0,1,19,0,18,9,8,16,3,8,0,1,0,4,0,0,2,0,0,0,0,12,54,0,0,7,0,2,3,3,0,16,5,8,11,0,1,21,0,1,1,69,3,8,0,0,1,0,0,4,0,0,0,1,1,0,1,1,4,2,10,13,3,2,3,7,16,2,3,15,2,11,1,0,0,0,3,0,0,2,0,1,0,0,2,0,0,1,2,0,3,1,4,1,0,5,0,0,0,0,2,0,2,7,0,0,6,7,3,0,0,1,11,1,0,22,8,2,9,1,2,3,4,5,0,2,10,0,6,1,1,0,7,8,8,4,2,2,4,0,0,0,0,0,0,0,3,0,1,1,2,3,33,4,0,1,0,0,0,3,5,0,0,0,0,1,1,5,0,6,13,11,5,2,70,1,0,0,0,2,0,3,0,0,0,1,154,12,16
NCL,0,1,0,5,0,0,0,7,3,0,0,36,5,0,4,10,6,0,0,6,3,6,1,0,0,0,0,0,8,0,0,6,0,0,9,8,9,9,0,6,6,0,1,6,0,0,5,0,0,0,0,0,14,0,0,11,1,6,6,6,0,12,6,6,6,1,0,122,0,7,0,34,1,6,0,0,1,1,0,4,0,0,0,0,0,0,2,0,0,9,8,9,6,6,5,5,14,3,6,16,4,6,6,1,0,0,6,1,0,6,0,0,0,0,4,0,0,6,0,0,1,4,0,0,0,8,0,0,0,0,4,0,0,6,0,0,0,0,9,0,0,0,6,0,0,8,7,6,15,4,7,5,7,7,0,4,10,0,6,0,4,5,6,6,6,10,0,1,10,0,0,0,0,0,0,0,6,0,0,0,6,0,9,0,0,1,0,1,0,0,2,0,0,0,3,0,3,5,1,11,5,5,6,0,48,0,0,0,0,0,0,10,4,0,0,3,8,6,0
NER,0,0,2,0,0,0,0,1,1,0,0,4,3,0,0,6,19,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,5,16,13,6,12,7,7,5,0,0,0,0,13,0,0,0,0,0,13,1,0,6,0,2,0,1,0,5,0,4,1,0,0,59,0,0,3,25,0,12,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,0,1,8,0,0,3,0,8,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,5,0,0,3,0,0,0,0,23,0,0,0,0,5,8,0,1,5,4,1,0,0,27,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,30,1,0,0,0,4,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,7,11,1,0,0,0,0,0,4,1,0,1,9,6,0,0,40,0,0,0,0,0,0,0,0,0,0,1,12,3,2
NGA,0,5,2,8,6,0,0,25,28,0,0,172,48,0,5,66,47,0,32,29,32,13,0,6,8,0,0,4,120,6,5,8,17,0,152,114,33,221,20,72,22,6,0,57,1,1,15,8,0,2,5,22,168,0,0,48,4,22,12,66,0,94,22,65,52,4,0,103,0,9,3,653,10,131,0,7,26,0,0,27,2,1,1,1,1,1,17,3,9,40,186,39,59,40,15,36,136,16,33,118,16,119,17,6,0,0,53,12,1,34,11,8,0,0,25,0,8,18,10,0,19,0,2,3,1,66,0,1,21,1,8,2,8,34,2,0,16,31,386,11,6,27,0,1,0,120,60,28,56,17,67,14,44,33,0,7,45,0,66,8,16,25,50,41,26,89,21,26,29,0,0,1,16,2,0,0,45,1,2,3,12,8,80,6,0,4,1,0,7,10,44,2,0,0,1,4,14,76,0,29,71,111,14,10,687,1,0,0,1,12,0,37,1,2,0,8,532,36,15
NIC,0,0,0,0,1,0,0,0,14,0,0,9,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,5,16,0,0,0,0,0,15,4,8,2,0,1,1,0,0,14,0,0,26,3,0,0,0,0,11,0,0,1,5,0,10,0,0,26,0,0,2,0,0,10,0,0,0,23,0,0,0,0,1,0,0,0,0,0,11,1,0,10,1,0,0,2,2,0,1,0,0,1,5,0,3,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,32,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,6,2,1,1,0,2,11,19,3,0,0,0,0,3,4,0,0,1,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,5,2,0,0,9,114,0,0,0,0,9,0,5,0,0,0,0,4,1,0
NIU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NLD,4,5,9,8,24,1,3,131,422,146,0,3390,1833,112,10,4449,33,1,51,80,334,20,2,45,134,3,3,26,1483,6,9,14,13,0,3230,3745,504,2945,14,56,24,0,0,431,1,0,53,53,27,2,134,1007,9257,1,0,2411,7,32,85,202,2,4262,274,179,1374,3,0,5488,1,7,27,11882,130,128,0,11,32,3,0,1230,1,9,13,5,3,5,266,3,816,346,908,1031,412,39,157,869,5351,13,51,1733,23,201,16,23,0,2,750,50,9,85,2,6,0,5,52,2,265,148,192,0,161,19,16,9,0,451,0,47,25,62,14,11,32,38,1,0,11,48,320,22,8,2,120,6,0,0,1629,55,480,39,197,41,114,145,0,4,1577,0,1245,18,93,103,718,1250,33,319,26,13,530,0,0,2,8,5,1,1,320,3,4,30,404,500,2991,6,1,13,3,1,2,3,316,1,0,0,1,7,40,760,0,432,82,94,279,45,11707,7,0,1,0,47,0,194,0,1,3,8,991,48,24
NOR,0,2,2,8,12,3,0,46,194,128,0,1100,701,112,5,705,15,0,9,45,172,14,0,25,122,1,2,10,464,4,6,8,8,0,1169,1046,218,1025,4,27,14,2,0,184,1,1,26,43,0,1,32,472,2400,0,0,1699,2,26,30,85,1,1400,159,113,997,3,1,1668,1,9,1,3804,109,37,0,3,6,1,0,440,2,26,10,2,2,1,151,0,370,86,338,299,172,15,247,303,1530,11,32,573,24,55,17,8,0,2,240,17,5,33,0,2,0,4,31,1,91,65,64,0,116,5,9,7,0,151,0,23,7,23,9,5,12,26,0,0,9,26,200,8,7,0,60,2,0,1629,0,58,209,14,110,22,84,42,0,4,734,0,501,10,108,48,325,605,12,115,16,6,144,0,5,3,6,3,1,2,223,1,1,3,210,214,2316,2,0,4,2,0,2,3,119,1,0,0,1,4,26,300,0,184,97,74,113,22,3534,2,0,0,0,14,0,79,0,0,3,6,418,33,8
NPL,0,2,0,8,4,0,0,16,14,1,0,108,22,0,4,39,12,0,8,65,8,9,0,3,2,1,0,3,42,2,2,16,0,0,74,55,19,128,3,17,10,2,0,19,0,0,10,2,0,0,3,8,87,0,0,29,1,16,9,24,1,22,12,24,31,2,0,38,0,7,0,231,5,17,1,3,4,1,0,14,0,1,2,0,0,1,9,0,6,30,184,11,23,9,9,14,43,7,17,107,6,30,10,8,0,0,70,4,2,12,0,1,0,0,23,0,2,10,6,0,8,0,1,1,3,18,0,2,1,2,14,1,8,13,0,0,3,9,26,2,6,0,28,1,0,55,58,0,31,7,62,13,27,32,0,4,18,0,19,4,8,11,14,22,9,23,4,4,27,0,0,3,2,2,0,0,16,1,0,1,12,4,37,0,0,2,0,0,1,2,79,0,0,1,1,2,8,17,0,20,26,23,10,3,338,0,0,0,0,6,0,40,1,0,0,6,55,17,3
NZL,0,1,1,8,1,0,0,34,94,119,0,2516,274,1,4,378,11,0,2,46,142,14,0,4,120,1,3,8,348,3,2,10,8,0,891,504,119,1151,3,19,7,1,4,199,1,0,22,8,0,1,126,230,1036,0,2,265,2,18,135,168,1,540,166,30,286,24,4,745,0,8,1,2284,125,23,0,2,32,1,1,185,1,1,10,2,1,1,148,0,160,88,338,277,259,26,32,112,592,6,22,397,16,60,13,6,0,5,319,10,4,33,0,1,1,1,159,0,141,20,128,0,19,3,2,3,1,253,1,3,17,6,15,1,10,11,0,0,10,4,300,9,15,1,56,1,0,480,209,31,0,20,217,14,46,51,2,8,270,1,244,4,11,153,68,232,7,99,5,3,301,0,0,2,0,2,0,0,148,0,2,3,29,20,414,1,0,4,0,0,0,1,255,0,0,0,4,7,14,194,0,239,28,26,139,28,2632,5,0,0,0,11,0,68,1,3,0,5,283,29,3
OMN,0,0,0,4,2,0,0,76,5,0,0,52,15,0,3,19,5,0,2,12,11,23,0,1,2,1,0,2,32,0,2,5,2,0,54,28,11,78,0,12,4,3,0,10,0,0,4,2,0,0,4,13,71,0,0,25,4,14,4,82,7,41,8,16,17,0,0,37,0,4,1,169,5,9,0,0,1,0,0,21,0,0,0,0,0,0,10,0,6,7,163,13,56,24,5,8,56,3,41,25,13,8,4,1,0,0,61,25,1,14,0,3,0,0,6,0,1,5,4,0,14,0,1,1,0,12,0,0,1,0,3,0,4,4,1,0,12,0,79,1,4,0,17,0,0,39,14,7,20,0,103,7,6,7,0,0,18,0,25,2,5,33,14,22,4,97,12,1,14,0,0,0,2,1,0,0,6,0,0,0,6,2,34,0,0,0,0,0,0,0,27,0,0,0,0,2,23,28,0,18,4,8,9,1,121,4,0,0,0,1,0,9,0,0,1,11,35,7,0
PAK,0,16,1,8,5,0,0,159,34,160,0,443,269,17,4,202,15,0,5,143,134,21,0,4,119,0,0,1,319,3,10,10,2,0,361,264,40,2202,3,26,19,1,0,160,0,0,14,35,0,0,147,216,641,0,0,130,0,36,123,291,0,285,144,42,249,7,0,410,0,9,2,1071,132,28,0,1,9,0,0,202,0,1,9,0,0,0,185,0,178,84,501,189,335,47,20,37,446,5,61,215,27,47,16,5,0,0,771,27,1,31,0,5,0,0,159,0,123,18,119,0,41,0,4,1,1,237,0,3,5,2,9,1,20,18,0,0,6,11,822,2,7,1,67,2,0,197,110,62,217,103,0,11,62,40,0,4,223,0,165,3,14,191,113,252,14,1553,16,4,97,0,0,1,2,2,0,0,156,0,0,1,54,9,251,0,0,2,4,0,0,1,250,19,0,0,1,1,31,477,0,188,37,19,166,5,1422,7,0,0,0,5,0,44,0,0,2,12,185,20,13
PAN,0,1,0,7,5,0,0,12,43,1,0,53,17,0,3,31,10,0,2,13,12,7,1,3,3,2,1,12,78,5,4,6,0,0,63,38,41,34,3,15,6,0,0,71,0,0,38,8,0,1,4,18,85,0,0,17,11,10,37,14,0,68,14,9,20,1,0,34,0,6,2,133,5,15,0,1,3,0,0,11,0,1,13,6,3,8,6,0,8,16,33,13,14,7,9,18,28,9,15,36,6,15,7,1,0,0,15,3,0,11,0,0,0,0,8,0,2,8,4,0,6,0,1,1,0,59,0,1,1,1,7,1,5,9,0,0,3,0,23,3,5,0,14,11,0,41,22,13,14,7,11,0,37,17,0,5,13,0,16,9,7,8,13,20,6,14,2,1,24,0,0,1,1,15,0,0,12,0,1,3,8,4,32,0,0,2,0,0,0,1,10,0,0,0,1,5,6,15,0,23,10,13,10,14,371,0,0,0,0,21,0,15,0,0,0,4,18,8,0
PER,0,1,1,8,4,0,0,15,177,30,0,114,64,15,4,105,14,0,4,30,23,9,0,5,5,0,0,41,383,3,4,7,3,0,145,150,176,132,6,18,8,0,0,190,1,0,52,65,0,1,5,65,168,0,0,75,10,15,120,25,1,328,22,26,73,3,1,221,0,9,3,354,11,25,0,3,8,0,0,59,2,1,33,6,2,15,44,7,52,65,114,21,22,19,13,25,141,8,19,111,9,46,9,2,0,0,81,4,0,24,0,0,0,0,17,0,3,11,7,0,14,0,2,2,0,210,0,2,1,2,8,1,5,17,0,0,4,7,29,4,7,0,44,19,0,114,84,27,46,6,62,37,0,29,0,3,71,0,68,34,10,12,69,79,10,24,3,3,30,0,0,1,3,10,0,0,25,0,2,4,47,13,86,0,0,3,1,0,0,2,73,0,0,0,1,6,10,62,0,28,33,21,54,55,937,3,0,0,0,70,0,32,0,1,0,7,131,11,5
PHL,0,2,0,7,2,0,0,19,33,10,0,232,30,0,6,53,14,0,4,50,12,8,0,3,4,2,0,3,148,3,3,9,2,0,95,148,38,311,6,14,8,4,0,106,0,0,19,5,0,0,3,21,200,0,0,39,3,16,15,40,0,116,23,17,31,4,0,177,0,8,3,354,10,17,0,0,4,1,0,25,0,1,5,1,1,3,20,0,18,111,156,83,28,9,12,31,134,3,22,296,10,23,12,16,1,1,177,5,10,21,0,1,0,0,34,0,4,15,3,0,7,0,1,2,2,53,0,1,1,1,22,2,8,17,0,0,3,3,194,5,7,1,33,3,0,145,42,32,51,7,40,17,29,0,0,8,104,0,30,3,10,17,90,119,9,40,4,6,124,0,0,4,2,1,0,0,22,0,1,2,19,4,51,1,0,4,1,0,0,2,152,0,0,0,1,0,10,40,0,163,22,18,94,14,593,1,0,0,0,6,0,135,2,3,0,5,64,11,2
PLW,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PNG,0,0,0,1,1,0,0,2,2,0,0,121,5,0,1,8,5,0,2,7,2,2,0,0,1,0,0,2,11,0,0,3,0,0,9,29,4,12,3,8,3,1,0,7,0,0,6,0,0,0,0,16,13,0,0,7,0,3,4,4,0,28,4,2,5,0,0,21,0,2,2,57,1,7,0,0,2,0,0,3,1,0,2,1,1,0,0,0,1,7,9,4,3,2,3,2,7,1,4,13,2,5,2,2,0,0,6,0,1,2,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,2,0,1,4,0,0,0,1,9,2,4,0,7,0,0,4,4,4,8,0,4,5,3,8,0,0,2,0,7,0,1,0,3,3,2,2,2,0,4,0,0,2,0,0,0,0,3,0,1,1,2,0,8,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,5,6,7,2,1,62,0,0,0,0,1,0,6,1,2,0,2,8,3,0
POL,0,1,0,8,24,1,0,83,237,278,1,920,1071,124,4,1237,15,0,4,27,537,12,0,42,348,0,0,6,886,3,5,8,6,0,1056,1612,294,1306,4,23,10,0,0,381,1,0,22,61,0,2,191,1484,3804,0,0,839,3,37,145,276,0,2198,355,23,794,3,0,2748,1,8,0,3951,254,22,1,1,4,0,0,910,14,5,7,0,0,0,394,0,846,61,776,597,396,63,88,478,2735,8,38,1044,117,24,18,4,0,5,674,17,1,46,0,7,0,3,133,0,484,54,349,0,133,13,23,4,0,383,0,41,0,33,7,18,12,13,0,0,5,3,356,10,10,0,45,0,0,1577,734,18,270,18,223,13,71,104,0,2,0,0,876,6,97,152,766,1472,7,235,7,5,138,0,1,1,2,1,2,1,403,0,0,3,707,472,1252,1,0,5,4,0,0,0,224,4,0,0,1,4,51,598,0,442,11,15,1167,19,4044,11,0,1,0,18,0,160,0,0,9,6,384,12,7
PRK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRT,0,1,47,8,20,1,0,84,269,226,0,734,774,109,4,1075,18,0,5,22,380,10,1,23,251,3,1,10,2052,3,4,8,6,0,667,1156,296,946,6,24,9,0,0,356,1,23,26,43,1,1,199,701,2115,0,0,725,2,81,184,209,4,3299,284,31,594,6,2,2004,1,8,7,3457,233,23,0,2,6,13,0,778,2,2,4,4,1,2,283,1,541,38,640,510,334,33,63,346,2055,10,32,553,19,44,16,2,0,5,419,15,1,46,0,5,0,1,137,0,353,60,282,0,168,5,17,10,1,346,0,31,6,40,7,10,9,46,0,0,13,4,297,6,6,0,66,3,0,1245,501,19,244,25,165,16,68,30,0,7,876,0,0,10,97,141,523,740,9,150,8,14,103,0,0,1,2,2,1,0,361,0,10,4,321,373,860,2,0,6,5,0,0,0,183,0,0,4,1,8,114,477,0,288,20,22,272,29,2627,10,0,2,0,24,0,51,0,0,2,7,308,10,1
PRY,0,0,0,0,3,0,0,7,48,0,0,18,7,0,0,7,2,0,3,4,7,0,1,2,6,0,0,15,71,2,3,0,3,0,23,12,56,15,1,5,1,0,0,32,1,0,9,21,0,2,2,6,26,0,0,8,5,2,30,11,0,58,5,1,10,0,0,20,0,0,0,37,7,3,0,0,2,0,0,4,1,0,17,0,1,15,4,1,5,3,14,6,7,1,2,11,18,7,6,18,1,2,1,2,0,0,14,0,0,3,0,0,0,0,0,0,1,0,6,0,7,0,0,3,0,41,0,2,3,0,0,0,7,2,0,0,2,0,5,1,0,0,8,4,0,18,10,4,4,2,3,9,34,3,0,0,6,0,10,0,0,3,6,10,0,6,3,1,9,0,0,0,3,5,0,0,6,0,0,1,2,4,5,0,0,1,1,0,0,1,7,0,0,0,0,5,4,7,0,7,1,3,4,21,71,0,0,0,0,21,0,5,0,0,0,0,15,3,0
PSE,0,1,0,6,1,0,0,21,87,82,0,111,94,82,2,16,8,0,0,14,88,7,0,2,82,0,0,1,97,2,1,6,1,0,121,96,91,107,2,7,4,0,0,94,0,0,7,2,0,1,3,88,123,0,0,91,0,13,6,26,0,114,9,10,17,2,0,112,0,7,0,238,84,9,0,0,2,0,0,88,1,1,0,0,0,0,6,0,84,11,24,8,30,14,8,136,116,3,30,97,7,11,6,1,0,0,12,7,0,15,0,6,0,0,6,0,3,9,3,0,110,0,2,0,0,15,0,1,0,1,6,2,1,7,0,0,2,1,127,1,4,0,16,0,0,93,108,8,11,5,14,7,10,10,0,1,97,0,97,0,0,10,96,94,6,48,3,0,12,0,0,1,0,0,0,0,92,0,0,1,91,84,103,0,0,2,1,0,0,0,2,0,0,0,1,0,12,131,0,91,7,6,5,3,149,0,0,0,0,2,0,10,0,0,0,5,100,5,2
QAT,0,1,0,5,3,0,0,140,14,111,0,243,155,0,3,198,8,0,3,15,126,63,0,4,113,1,0,1,216,1,4,5,2,0,226,215,21,461,3,13,5,0,0,127,0,0,4,2,0,0,117,148,282,0,0,61,4,35,118,295,1,239,123,12,164,0,0,319,0,5,0,695,114,17,0,0,1,0,0,189,1,1,1,0,0,2,134,0,131,12,249,162,190,11,9,24,296,4,53,68,8,10,5,2,0,0,186,26,0,68,0,2,0,0,117,0,114,9,110,0,20,1,0,0,2,136,0,0,0,0,6,0,3,8,0,0,3,5,186,0,5,0,25,0,0,103,48,11,153,33,191,8,12,17,0,0,152,0,141,3,10,0,14,150,5,243,11,2,46,0,0,0,2,1,0,0,163,0,0,0,31,8,83,0,0,2,2,0,0,0,126,5,0,0,0,3,82,198,0,135,9,10,122,6,1105,3,0,0,0,4,0,11,0,0,0,19,123,7,3
ROU,0,1,0,6,24,1,0,33,176,140,0,341,570,111,6,553,13,0,3,18,334,9,0,35,135,0,0,4,465,2,3,8,6,1,344,657,145,631,6,26,8,0,0,221,0,0,13,32,0,0,68,520,1297,1,1,447,2,36,18,81,0,964,137,12,318,1,0,1315,1,8,0,1593,123,14,0,1,2,0,0,565,0,2,4,1,1,0,203,0,633,49,361,316,150,56,42,232,1237,9,23,477,21,19,11,1,0,1,268,7,0,35,0,1,0,1,10,0,200,24,176,0,142,2,68,5,0,161,0,43,1,29,8,18,9,11,0,0,5,1,214,7,6,1,50,1,0,718,325,14,68,14,113,13,69,90,0,3,766,2,523,6,96,14,0,646,8,141,5,5,57,0,0,1,2,1,1,0,265,0,1,2,366,359,506,0,0,2,6,0,0,0,59,2,0,0,1,3,43,478,0,155,12,20,257,10,1282,3,0,0,0,8,0,127,0,0,8,5,213,10,0
RUS,0,1,3,8,16,1,0,72,249,397,0,916,927,217,4,918,15,0,5,24,515,14,0,29,724,1,0,7,955,3,4,8,4,1,962,1296,298,2093,7,31,8,0,0,380,1,0,27,45,0,1,170,1137,4737,1,0,666,4,45,145,301,1,1676,348,37,1103,3,0,2998,1,9,10,3549,277,22,0,3,4,2,0,698,1,7,4,1,1,3,308,0,733,69,1006,523,283,48,72,604,2168,10,38,1407,449,31,50,3,0,0,948,13,2,30,0,4,0,0,132,0,358,49,363,0,143,12,57,5,0,486,0,30,3,8,10,17,74,12,0,0,9,5,294,8,6,1,41,0,0,1250,605,22,232,22,252,20,79,119,0,3,1472,0,740,10,94,150,646,0,10,224,3,3,183,0,0,1,2,1,1,1,393,0,1,4,525,362,1152,1,0,3,1,0,0,0,271,28,0,1,1,6,47,604,0,614,21,21,1151,17,4983,69,0,5,0,23,0,281,0,0,8,8,417,11,3
RWA,0,1,1,6,0,0,0,8,5,0,0,21,7,0,10,36,14,0,6,12,4,7,0,0,0,0,0,2,14,0,0,7,3,0,32,31,7,37,7,15,20,2,0,11,0,0,5,0,0,0,0,0,24,0,0,7,0,8,5,9,0,12,7,30,9,1,0,16,0,8,0,77,3,23,0,3,7,0,0,8,1,0,0,0,0,0,2,2,0,8,18,11,8,9,6,9,9,1,9,14,5,51,7,0,0,0,13,1,1,10,1,0,0,0,11,0,0,8,0,0,4,0,0,2,0,8,0,0,8,0,6,0,1,19,0,0,2,8,11,8,6,3,26,0,0,33,12,9,7,4,14,6,10,9,0,2,7,0,9,0,6,5,8,10,0,8,3,9,11,0,0,0,5,1,0,0,9,0,0,0,7,0,36,1,0,0,0,0,2,4,7,0,0,0,0,0,3,7,0,8,29,44,7,1,167,0,0,0,0,0,0,12,0,0,0,5,46,24,4
